Date,StationID,Sound,DeterTime
2026-04-19,S005,human_voice,9
2026-04-19,S096,thunder,999
2026-04-19,S096,thunder,999
2026-04-19,S013,wolf_attack,999
2026-04-19,S002,human_shout,999
2026-04-19,S005,human_voice,13
2026-04-19,S115,dog_snarl,4
2026-04-19,S053,gunshot,999
2026-04-19,S118,human_clap,20
2026-04-19,S095,siren_close,999
2026-04-19,S063,background_static,10
2026-04-19,S025,human_footsteps,999
2026-04-19,S039,deep_resonance,24
2026-04-19,S112,engine_rev,999
2026-04-19,S033,dog_howl,999
2026-04-19,S057,chaotic_noise,999
2026-04-19,S063,background_static,999
2026-04-19,S054,gun_burst,999
2026-04-19,S095,siren_close,999
2026-04-19,S115,dog_snarl,15
2026-04-19,S035,gun_echo,5
2026-04-19,S038,gun_close,999
2026-04-19,S088,vehicle_stop,999
2026-04-19,S034,boom_shockwave,999
2026-04-19,S067,dog_bark,999
2026-04-19,S019,dog_howl,10
2026-04-19,S028,boom_shockwave,17
2026-04-19,S102,dog_howl,999
2026-04-19,S112,engine_rev,999
2026-04-19,S037,human_laughter,999
2026-04-19,S060,gun_heavy,999
2026-04-19,S030,sand_shift,14
2026-04-19,S034,boom_shockwave,999
2026-04-19,S085,siren_close,999
2026-04-19,S070,dog_warning,999
2026-04-19,S111,rain_light,999
2026-04-19,S061,human_crowd,9
2026-04-19,S034,boom_shockwave,999
2026-04-19,S106,random_noise,999
2026-04-19,S110,wolf_pack,999
2026-04-19,S081,wood_crack,999
2026-04-19,S011,pulse_signal,8
2026-04-19,S114,gun_burst,6
2026-04-19,S119,high_pitch_ring,999
2026-04-19,S067,dog_bark,999
2026-04-19,S108,forest_noise,999
2026-04-19,S059,gun_echo,7
2026-04-19,S097,boom_shockwave,999
2026-04-19,S030,sand_shift,999
2026-04-19,S087,wood_crack,12
2026-04-19,S080,construction_noise,999
2026-04-19,S109,wolf_echo,8
2026-04-19,S085,siren_close,999
2026-04-19,S091,boom_close,999
2026-04-19,S038,gun_close,999
2026-04-19,S114,gun_burst,999
2026-04-19,S080,construction_noise,999
2026-04-19,S032,engine_rev,999
2026-04-19,S037,human_laughter,999
2026-04-19,S077,gun_echo,5
2026-04-19,S111,rain_light,999
2026-04-19,S092,metal_bang,999
2026-04-19,S067,dog_bark,999
2026-04-19,S104,human_scream,12
2026-04-19,S025,human_footsteps,999
2026-04-19,S046,metal_bang,999
2026-04-19,S105,gun_distant,999
2026-04-19,S058,background_static,999
2026-04-19,S085,siren_close,999
2026-04-19,S060,gun_heavy,10
2026-04-19,S005,human_voice,16
2026-04-19,S030,sand_shift,999
2026-04-19,S031,construction_noise,999
2026-04-19,S020,rhythmic_noise,999
2026-04-19,S119,high_pitch_ring,999
2026-04-19,S087,wood_crack,999
2026-04-19,S114,gun_burst,6
2026-04-19,S061,human_crowd,23
2026-04-19,S072,siren_far,999
2026-04-19,S013,wolf_attack,999
2026-04-19,S035,engine_idle,999
2026-04-19,S028,low_frequency_hum,999
2026-04-19,S111,engine_idle,20
2026-04-19,S008,gun_shock,999
2026-04-19,S005,wolf_distant,12
2026-04-19,S106,rhythmic_noise,999
2026-04-19,S114,dog_pack,999
2026-04-19,S110,wolf_distant,5
2026-04-19,S016,vehicle_pass,999
2026-04-19,S006,metal_bang,999
2026-04-19,S044,distant_activity,999
2026-04-19,S020,dog_fast_bark,5
2026-04-19,S024,gun_echo,5
2026-04-19,S111,engine_idle,999
2026-04-19,S078,rock_fall,999
2026-04-19,S119,strange_echo,999
2026-04-19,S073,forest_noise,999
2026-04-19,S100,industrial_noise,999
2026-04-19,S113,human_run_noise,999
2026-04-19,S060,river_flow,999
2026-04-19,S024,gun_echo,5
2026-04-19,S101,dog_pack,999
2026-04-19,S015,dog_attack,999
2026-04-19,S081,wolf_chase,999
2026-04-19,S088,dog_howl,999
2026-04-19,S037,strange_echo,999
2026-04-19,S068,unidentified_sound,999
2026-04-19,S005,wolf_distant,13
2026-04-19,S050,metal_clank,6
2026-04-19,S097,wolf_night_call,999
2026-04-19,S043,dog_bark,999
2026-04-19,S002,human_yell_close,14
2026-04-19,S080,wolf_multiple,999
2026-04-19,S088,dog_howl,5
2026-04-19,S105,sand_shift,999
2026-04-19,S044,distant_activity,999
2026-04-19,S057,metal_scrape,18
2026-04-19,S072,wolf_snarl,999
2026-04-19,S032,gun_close,999
2026-04-19,S037,strange_echo,999
2026-04-19,S057,metal_scrape,999
2026-04-19,S088,dog_howl,999
2026-04-19,S088,dog_howl,14
2026-04-19,S003,insect_swarm,999
2026-04-19,S060,river_flow,999
2026-04-19,S073,forest_noise,999
2026-04-19,S061,boom_blast,999
2026-04-19,S090,river_flow,999
2026-04-19,S010,dog_warning,999
2026-04-19,S006,metal_bang,999
2026-04-19,S016,vehicle_pass,13
2026-04-19,S108,industrial_noise,999
2026-04-19,S053,wind_noise,999
2026-04-19,S016,vehicle_pass,999
2026-04-19,S065,wolf_echo,20
2026-04-19,S120,gunshot,999
2026-04-19,S013,gun_rapid_fire,3
2026-04-19,S005,wolf_distant,3
